Time (s),Error (km)
0.000100,0.000195
160.333644,0.004420
639.689336,0.017164
1433.148237,0.040898
2532.568387,0.090553
3926.668245,0.193155
5601.142462,0.379095
7538.808666,0.677411
9719.783779,1.111839
12121.688045,1.694211
14719.874677,2.415700
17487.682764,3.236177
20396.710849,4.080304
23417.108367,4.889345
26517.881953,5.966949
29667.213474,7.851795
32832.786526,7.700829
35982.118047,6.373762
39082.891633,5.201610
42103.289151,4.305083
45012.317236,3.664472
47780.125323,3.234619
50378.311955,2.982811
52780.216221,2.825994
54961.191334,2.768706
56898.857538,2.807748
58573.331755,2.931031
59967.431613,3.109371
61066.851763,3.302982
61860.310664,3.472607
62339.666356,3.587251
62500.000000,3.627630
62500.000000,3.627630
62660.333644,3.669024
63139.689336,3.798960
63933.148237,4.033287
65032.568387,4.396821
66426.668245,4.919062
68101.142462,5.629299
70038.808666,6.551308
72219.783779,7.699819
74621.688045,9.079093
77219.874677,10.698461
79987.682764,12.633408
82896.710849,15.219340
85917.108367,18.702045
89017.881953,18.624446
92167.213474,14.901050
95332.786526,11.891879
98482.118047,35490.773939
101582.891633,40134.527833
104603.289151,7.303534
107512.317236,6.484145
110280.125323,5.896734
112878.311955,5.562167
115280.216221,5.523347
117461.191334,5.780281
119398.857538,6.267015
121073.331755,6.879917
122467.431613,7.515132
123566.851763,8.088632
124360.310664,8.538879
124839.666356,8.824687
125000.000000,8.922509
125000.000000,8.922509
125160.333644,9.021421
125639.689336,9.323497
126433.148237,9.843611
127532.568387,10.603093
128926.668245,11.626288
130601.142462,12.936377
132538.808666,14.559962
134719.783779,16.544021
137121.688045,19.020000
139719.874677,22.377900
142487.682764,27.193380
145396.710849,29.697692
148417.108367,25.224362
151517.881953,20.511440
154667.213474,17.186695
157832.786526,14.796756
160982.118047,12.957305
164082.891633,11.465576
167103.289151,10.246580
170012.317236,9.379217
172780.125323,8.958746
175378.311955,9.066262
177780.216221,9.674634
179961.191334,10.648696
181898.857538,11.815385
183573.331755,13.019606
184967.431613,14.141718
186066.851763,15.095220
186860.310664,15.817616
187339.666356,16.267478
187500.000000,16.420168
187500.000000,16.420168
187660.333644,16.573964
188139.689336,17.040356
188933.148237,17.834108
190032.568387,18.980171
191426.668245,20.519064
193101.142462,22.528968
195038.808666,25.188830
197219.783779,28.938847
199621.688045,34.468406
202219.874677,39.104859
204987.682764,35.756657
207896.710849,30.084881
210917.108367,25.738772
214017.881953,22.509829
217167.213474,19.931630
220332.786526,17.728127
223482.118047,15.803190
226582.891633,14.159439
229603.289151,12.943527
232512.317236,12.348064
235280.125323,12.508998
237878.311955,13.393973
240280.216221,14.813121
242461.191334,16.527526
244398.857538,18.331456
246073.331755,20.072278
247467.431613,21.642651
248566.851763,22.962536
249360.310664,23.965731
249839.666356,24.595491
250000.000000,24.810553
250000.000000,24.810553
250160.333644,25.027981
250639.689336,25.693169
251433.148237,26.851363
252532.568387,28.606036
253926.668245,31.185347
255601.142462,35.059010
257538.808666,40.677997
259719.783779,45.368853
262121.688045,43.255343
264719.874677,38.121301
267487.682764,33.701524
270396.710849,30.225731
273417.108367,27.329525
276517.881953,24.733667
279667.213474,22.295011
282832.786526,20.017312
285982.118047,18.007026
289082.891633,16.483144
292103.289151,15.719272
295012.317236,15.910905
297780.125323,17.035185
300378.311955,18.864204
302780.216221,21.109254
304961.191334,23.533044
306898.857538,25.986517
308573.331755,28.391954
309967.431613,30.697410
311066.851763,32.813296
311860.310664,34.571100
312339.666356,35.750605
312500.000000,36.167288
312500.000000,36.167288
312660.333644,36.595669
313139.689336,37.948722
313933.148237,40.428395
315032.568387,44.234491
316426.668245,48.655329
318101.142462,50.596219
320038.808666,48.355139
322219.783779,44.532940
324621.688045,40.956010
327219.874677,37.891195
329987.682764,35.162958
332896.710849,32.575725
335917.108367,30.008268
339017.881953,27.415000
342167.213474,24.889654
345332.786526,22.591349
348482.118047,20.793405
351582.891633,19.825100
354603.289151,19.939354
357512.317236,21.159097
360280.125323,23.270993
362878.311955,25.986688
365280.216221,29.114361
367461.191334,32.659660
369398.857538,36.832899
371073.331755,41.801221
372467.431613,47.070321
373566.851763,51.279208
374360.310664,53.631143
374839.666356,54.568402
375000.000000,54.791494
375000.000000,54.791494
375160.333644,54.969567
375639.689336,55.246308
376433.148237,55.006275
377532.568387,53.793451
378926.668245,51.760563
380601.142462,49.396357
382538.808666,47.044855
384719.783779,44.795170
387121.688045,42.589513
389719.874677,40.329214
392487.682764,37.932755
395396.710849,35.375520
398417.108367,32.658836
401517.881953,29.896915
404667.213474,27.290677
407832.786526,25.146696
410982.118047,23.844332
414082.891633,23.714515
417103.289151,24.869319
420012.317236,27.161615
422780.125323,30.381508
425378.311955,34.591026
427780.216221,40.454741
429961.191334,48.601881
431898.857538,55.975863
433573.331755,58.243824
434967.431613,57.583046
436066.851763,56.478406
436860.310664,55.620473
437339.666356,55.110318
437500.000000,54.942810
437500.000000,54.942810
437660.333644,54.776722
438139.689336,54.292432
438933.148237,53.529131
440032.568387,52.547279
441426.668245,51.401463
443101.142462,50.114836
445038.808666,48.671448
447219.783779,47.026519
449621.688045,45.127310
452219.874677,42.930136
454987.682764,40.442759
457896.710849,37.707276
460917.108367,34.843154
464017.881953,32.063873
467167.213474,29.692450
470332.786526,28.141331
473482.118047,27.810921
476582.891633,28.924952
479603.289151,31.488997
482512.317236,35.599055
485280.125323,42.163166
487878.311955,52.457018
490280.216221,60.462420
492461.191334,61.136156
494398.857538,59.861230
496073.331755,58.718637
497467.431613,57.871302
498566.851763,57.254089
499360.310664,56.825052
499839.666356,56.569071
500000.000000,56.483676
500000.000000,56.483676
500160.333644,56.398311
